Nevis_Peak,-62.584,17.15,0.08
Newberry,-121.255,43.688,0.24
Nikko-Shirane,139.375,36.798,0.06
Nila,129.513,-6.742,0.05
Niseko,140.658,42.874,0.1
Nisyros,27.155,36.588,0.07
Niuafo'ou,-175.626,-15.583,0.07
Norikura,137.552,36.104,0.13
North_Sister_Field,-121.785,44.148,0.06
North_Vate_Emau,168.49,-17.472,0.03
North_Vate_Nguna,168.347,-17.448,0.05
Nyambeni_Hills,37.878,0.234,0.12
Nyamuragira,29.21,-1.417,0.12
Nyiragongo,29.254,-1.519,0.1
"Ojos_del_Salado,_Nevados",-68.541,-27.11,0.1
Okmok,-168.057,53.374,0.19
Ol_Kokwe,36.074,0.612,0.02
Olca-Paruma,-68.441,-20.946,0.09
Ollage,-68.179,-21.303,0.11
On-take,137.476,35.894,0.08
Opala,157.339,52.543,0.07
"Orizaba,_Pico_de",-97.269,19.031,0.13
Oros,-85.448,10.932,0.12
Oshima,139.394,34.724,0.09
Oshima-Oshima,139.367,41.51,0.03
Osore-yama,141.119,41.278,0.17
Osorno,-72.497,-41.105,0.08
Ostry,160.827,58.184,0.03
Pacaya,-90.602,14.381,0.05
Paco,125.53,9.604,0.1
Paka,36.211,0.911,0.07
Palomo,-70.297,-34.611,0.03
Paluweh,121.71,-8.33,0.06
Panarea,15.063,38.638,0.02
Pantelleria,12.004,36.78,0.09
Papandayan,107.715,-7.329,0.1
Parinacota,-69.142,-18.166,0.06
Parker,124.886,6.08,0.22
Patuha,107.399,-7.163,0.08
Pavlof,-161.894,55.417,0.05
Pavlof_Sister,-161.856,55.456,0.06
Payn_Matru,-69.241,-36.423,0.17
Peinado,-68.116,-26.623,0.07
Pele,-61.167,14.809,0.12
Penanggungan,112.619,-7.616,0.06
Peuet_Sague,96.329,4.914,0.11
Pico,-28.4,38.468,0.09
"Pilas,_Las",-86.671,12.489,0.06
Pinatubo,120.368,15.092,0.23
Pinta,-90.756,0.585,0.08
Planchn-Peteroa,-70.583,-35.274,0.15
"Plat_Pays,_Morne",-61.347,15.249,0.06
Platanar,-84.357,10.246,0.23
Pocdol_Mountains,123.96,13.048,0.15
Popa,95.254,20.92,0.08
Popocatpetl,-98.628,19.022,0.14
Pos,-84.226,10.184,0.19
"Possession,_Ile_de_la",51.696,-46.415,0.13
Prevo_Peak,152.116,47.014,0.04
Prince_Edward_Island,37.931,-46.627,0.07
Pular,-68.067,-24.201,0.18
Pulosari,105.978,-6.342,0.06
Puntiagudo-Cordn_Cenizos_Puntiagudo,-72.267,-40.973,0.05
Purac,-76.395,2.309,0.16
Purico_Complex_Chascn,-67.691,-23.012,0.04
Putana,-67.853,-22.557,0.08
Puyehue-Cordn_Caulle,-72.119,-40.594,0.28
Puyehue-Cordn_Caulle_Puyehue,-72.119,-40.594,0.07
Quetrupillan,-71.723,-39.496,0.05
"Quill,_The",-62.96,17.476,0.04
Ragang,124.507,7.691,0.14
Raikoke,153.253,48.291,0.02
Rainier,-121.761,46.852,0.13
Rajabasa,105.634,-5.779,0.1
Ranau_Semuning,103.963,-4.911,0.07
Raoul_Island,-177.908,-29.268,0.06
Rasshua,153.02,47.762,0.06
Raung,114.046,-8.122,0.14
Recheschnoi,-168.539,53.154,0.09
Reventador,-77.66,-0.081,0.13
Rincn_de_la_Vieja,-85.319,10.809,0.15
Rinjani,116.458,-8.411,0.21
Risco_Plateado,-69.995,-34.919,0.14
Rishiri,141.241,45.179,0.07
Romanovka,158.809,55.639,0.04
Rota,-86.756,12.554,0.06
Roundtop,-163.592,54.799,0.1
Ruapehu,175.562,-39.29,0.14
Rudakov,149.818,45.873,0.04
"Ruiz,_Nevado_del",-75.324,4.891,0.16
Rungwe,33.668,-9.135,0.12
Saba,-63.238,17.634,0.04
Sabalan,47.836,38.267,0.09
Sabancaya,-71.857,-15.789,0.07
Sahand,46.499,37.729,0.35
Sairecabur,-67.891,-22.719,0.15
Sakar,148.079,-5.404,0.07
Sakura-jima,130.657,31.589,0.07
Salak,106.733,-6.716,0.08
San_Carlos,8.539,3.361,0.2
San_Cristbal,-87.006,12.702,0.05
San_Cristbal,-89.516,-0.897,0.17
San_Joaquin,8.627,3.364,0.18
San_Jos,-69.896,-33.79,0.1
San_Martn,-95.201,18.557,0.15
San_Miguel,-88.27,13.434,0.09
San_Pablo_Volc_Field_Makiling,121.189,14.135,0.07
San_Pedro,-68.392,-21.888,0.11
San_Pedro-Pellado,-70.853,-35.993,0.09
San_Salvador,-89.257,13.744,0.12
San_Vicente,-88.838,13.596,0.08
Sanbe,132.621,35.14,0.03
